TimeStamp,test.data8i,test.float_data,test.data,test.address
80.894,57,699.096,232,290
81.436,57,699.096,232,290
81.83,57,699.096,232,290
82.088,58,698.396,230,280
82.332,58,698.396,230,280
82.683,58,698.396,230,280
82.933,58,698.396,230,280
83.172,58,698.396,230,280
83.418,58,698.396,230,280
83.835,58,698.396,230,280
84.092,59,697.696,228,270
84.337,59,697.696,228,270
84.687,59,697.696,228,270
84.997,59,697.696,228,270
85.681,59,697.696,228,270
86.006,60,696.996,226,260
86.269,60,696.996,226,260
86.711,60,696.996,226,260
87.073,60,696.996,226,260
87.409,60,696.996,226,260
87.829,60,696.996,226,260
88.09,61,696.296,224,250
88.384,61,696.296,224,250
88.834,61,696.296,224,250
89.687,61,696.296,224,250
89.979,62,695.596,222,240
90.216,62,695.596,222,240
90.46,62,695.596,222,240
90.832,62,695.596,222,240
91.081,62,695.596,222,240
91.305,62,695.596,222,240
91.684,62,695.596,222,240
91.912,63,694.896,220,240
92.14,63,694.896,220,230
92.366,63,694.896,220,230
92.683,63,694.896,220,230
92.911,63,694.896,220,230
93.149,63,694.896,220,230
93.387,63,694.896,220,230
93.685,63,694.896,220,230
93.925,64,694.196,218,230
94.159,64,694.196,218,220
94.411,64,694.196,218,220
94.827,64,694.196,218,220
95.124,64,694.196,218,220
95.392,64,694.196,218,220
95.833,64,694.196,218,220
96.077,65,693.496,216,210
96.312,65,693.496,216,210
96.684,65,693.496,216,210
96.938,65,693.496,216,210
97.183,65,693.496,216,210
97.433,65,693.496,216,210
97.833,65,693.496,216,210
98.073,66,692.796,214,200
98.306,66,692.796,214,200
98.682,66,692.796,214,200
98.909,66,692.796,214,200
99.144,66,692.796,214,200
99.427,66,692.796,214,200
99.833,66,692.796,214,200
100.118,67,692.096,212,190
100.423,67,692.096,212,190
100.831,67,692.096,212,190
101.087,67,692.096,212,190
101.328,67,692.096,212,190
101.687,67,692.096,212,190
101.917,68,691.396,210,190
102.147,68,691.396,210,200
102.377,68,691.396,210,200
102.685,68,691.396,210,200
102.909,68,691.396,210,200
103.135,68,691.396,210,200
103.36,68,691.396,210,200
103.684,68,691.396,210,200
103.913,69,690.696,208,200
104.161,69,690.696,208,210
104.401,69,690.696,208,210
104.837,69,690.696,208,210
105.086,69,690.696,208,210
105.328,69,690.696,208,210
105.686,69,690.696,208,210
105.919,70,689.996,206,210
106.16,70,689.996,206,220
106.398,70,689.996,206,220
106.832,70,689.996,206,220
107.077,70,689.996,206,220
107.332,70,689.996,206,220
107.709,70,689.996,206,220
108.004,71,689.296,204,230
